LABID	Prueba	Dieta	Anio	DMI	DMI_n	ADG	ADG_n	BW	BW_n	mBW	mBW_n	BFAT	BFAT_n	RFI	RFI_n	Pheno_RFI	DMP	DMP_n	Vis	Days	MeI_BW	MeI_BW_n	MeI_ADG	MeI_ADG_n	MeY_DMI	MeY_DMI_n	Pheno_MeY	Pheno_MeY_n	Pheno_DMP	Pheno_DMP_n	Observ.	Phase_Genomics	diet_batch	mg_work_id	batch	mt_work_id
PR24NT050	24	E	1	9,6	9,6	1,38	1,38	553	546	113	113	14,5	14,5	-2,191	-2,134	High_Efficiency	211,72	222,82	64	36	0,38	0,41	153,73	161,79	22,06	23,22	High_MeY	High_MeY	High_DMP	High_DMP			E2	PR24NT050MG	A	PR24NT050MT
PR24NT047	24	E	1	9,21	9,21	1,52	1,52	492	492	104,5	104,5	10,1	10,1	-2,023	-1,968	High_Efficiency	215,95	184,3	94	46	0,44	0,37	141,95	121,15	23,44	20,01	High_MeY	High_MeY	High_DMP	Low_DMP			E2	PR24NT047MG	A	PR24NT047MT
PR24NT070	24	E	1	10,94	10,94	1,56	1,56	574,4	568	116,4	116,4	11,9	11,9	-1,367	-1,286	High_Efficiency	233,61	217,94	82	36	0,41	0,38	149,61	139,58	21,35	19,92	High_MeY	High_MeY	High_DMP	High_DMP			E2	PR24NT070MG	A	PR24NT070MT
PR24NT034	24	E	1	9,93	9,93	1,49	1,49	490,3	487	103,7	103,7	10,9	10,9	-1,226	-1,177	High_Efficiency	220,13	209,7	120	55	0,45	0,43	147,59	140,6	22,17	21,12	High_MeY	High_MeY	High_DMP	High_DMP			E2	PR24NT034MG	A	PR24NT034MT
PR24NT068	24	E	1	9,06	9,06	1,28	1,28	455,9	454	98,3	98,3	7,8	7,8	-1,124	-1,068	High_Efficiency	205,15	232,05	102	55	0,45	0,51	159,69	180,63	22,65	25,62	High_MeY	High_MeY	High_DMP	High_DMP			E2	PR24NT068MG	A	PR24NT068MT
PR24NT054	24	E	1	12,21	12,21	1,39	1,39	555,3	551	113,7	113,7	10	10	0,55	638	Low_Efficiency	171,96	181,64	103	50	0,31	0,33	124,01	131	14,08	14,87	Low_MeY	Low_MeY	Low_DMP	Low_DMP			E2	PR24NT054MG	A	PR24NT054MT
PR24NT012	24	E	1	11,65	11,65	1,3	1,3	504,8	502	106,1	106,1	11,8	11,8	659	714	Low_Efficiency	189,38	180,67	118	55	0,38	0,36	145,66	138,96	16,26	15,51	Low_MeY	Low_MeY	Low_DMP	Low_DMP			E2	PR24NT012MG	A	PR24NT012MT
PR24NT057	24	E	1	11,98	11,98	1,34	1,34	526,3	523	109,4	109,4	7,7	7,7	847	938	Low_Efficiency	195,93	200,88	110	53	0,37	0,38	145,9	149,58	16,35	16,76	Low_MeY	Low_MeY	Low_DMP				E2	PR24NT057MG	A	PR24NT057MT
PR24NT020	24	E	1	12,29	12,29	1,41	1,41	521,8	517	108,5	108,5	10,8	10,8	937	1,003	Low_Efficiency	197,68	166,03	54	36	0,38	0,32	139,9	117,5	16,08	13,51	Low_MeY	Low_MeY	Low_DMP	Low_DMP			E2	PR24NT020MG	A	PR24NT020MT
PR24NT030	24	E	1	11,76	11,76	1,43	1,43	470,4	465	100,2	100,2	9,9	9,9	1,044	1,09	Low_Efficiency	195,99	185,46	150	68	0,42	0,4	136,87	129,52	16,66	15,77	Low_MeY	Low_MeY	Low_DMP				E2	PR24NT030MG	A	PR24NT030MT
PR26NR008	26	R	2	7,32	7,32	1,37	1,37	365	318,25	75,35	75,35	5	5	-2,77	-2,79	High_Efficiency	181,77	213,89	107	41	0,5	0,67	104,83	156,12	19,12	29,22	Low_MeY	High_MeY	Low_DMP		NS001	NS001	R2	NS001_MG	B	NS001_MT
PR26NR067	26	R	2	8,35	8,35	1,48	1,48	355,5	357,5	82,22	82,22	4,6	4,6	-2,4	-2,42	High_Efficiency	190,38	198,37	175	59	0,54	0,55	129,05	134,04	22,8	23,75	High_MeY	High_MeY	Low_DMP	Low_DMP			R1	PR26NR067MG	A	PR26NR067MT
PR26NR063	26	R	2	8,84	8,84	1,43	1,43	333,5	333,5	78,04	78,04	4,7	4,7	-1,53	-1,55	High_Efficiency	197,56	218,87	166	63	0,59	0,66	113,94	153,05	20,78	24,75	High_MeY	High_MeY	High_DMP				R1	PR26NR063MG	A	PR26NR063MT
PR26NR042	26	R	2	8,22	8,22	1,16	1,16	321,5	322,5	76,1	76,1	2,7	2,7	-1,49	-1,51	High_Efficiency	179,22	178,75	75	23	0,56	0,55	154,36	154,1	21,8	21,74	High_MeY		Low_DMP	Low_DMP			R1	PR26NR042MG	A	PR26NR042MT
PR26NR046	26	R	2	10	10	1,31	1,31	398,5	398	89,11	89,11	4,5	4,5	-0,99	-1,02	High_Efficiency	200,65	223,14	106	59	0,5	0,56	153,28	170,34	20,07	22,32	High_MeY		High_DMP		NS_002	NS_002	R2	NS002_MG	B	NS002_MT
PR26NR026	26	R	2	9,69	9,69	1,19	1,19	388	387	87,25	87,25	3,6	3,6	-0,93	-0,95	High_Efficiency	234,25	289,47	47	19	0,6	0,75	197,26	243,25	24,17	29,87	High_MeY	High_MeY	High_DMP	High_DMP			R1	PR26NR026MG	A	PR26NR026MT
PR26NR025	26	R	2	9,71	9,71	1,38	1,38	344,5	344,25	79,92	79,92	5,9	5,9	-0,79	-0,81	High_Efficiency	192,1	218,39	109	57	0,56	0,63	138,78	158,25	19,79	22,49	High_MeY	High_MeY	Low_DMP		NS_003	NS_003	R2	NS003_MG	B	NS003_MT
PR26NR051	26	R	2	10,23	10,23	1,39	1,39	372	373,5	84,96	84,96	6,5	6,5	-0,67	-0,69	High_Efficiency	217,43	231,98	81	43	0,58	0,62	156,96	166,89	21,26	22,68	High_MeY	High_MeY	High_DMP	High_DMP	NS_004		R2	NS004_MG	B	NS004_MT
