"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Prevotella",4961563.78461895,0.488824791343877,0.466813503977696,1.04715220784879,0.295029383584656,0.991627631154911
"UBA4293",152774.603380819,0.254139314917587,0.794959654472819,0.319688318127441,0.749204616220989,0.991627631154911
"UBA4372",291828.239540879,0.0926107690273942,0.214236919676621,0.432282022945368,0.665536451257829,0.991627631154911
"UBA2918",57553.7555382719,-0.299749757990201,0.638206334506152,-0.469675309979725,0.638587010258308,0.991627631154911
"UBA4334",89450.0362248344,-0.647899592485752,0.53402210938074,-1.21324488463046,0.2250362081159,0.984234290871907
"UBA1179",32299.8294604692,-0.183322365038276,0.567326096899798,-0.323134024752355,0.74659374326134,0.991627631154911
"UBA1786",16819.7478848586,0.0130326896014095,0.581759832130809,0.0224021819342094,0.982127139857812,0.991627631154911
"UBA3839",12112.7387700698,0.634560092267697,0.40305064051767,1.57439296325812,0.115396629623253,0.815269695000648
"Ga6A1",16125.8254765762,-0.884319800242762,0.557456858633281,-1.5863466141772,0.112660703557069,0.807268874395827
"UBA6382",30738.676488461,-0.174718623079012,0.621344559269321,-0.281194420185275,0.778561284127083,0.991627631154911
"Phocaeicola",3583.61151071208,-0.280600187268063,0.546083240056911,-0.51384141955871,0.607362866768739,0.991627631154911
"RUG210",13537.1657979665,2.37830596200837,0.937082617988979,2.53798962477004,0.0111491289672653,0.319322730056169
"RUG13423",1638.6234773658,0.453318263828923,0.231895328995488,1.95483999523657,0.0506019588246094,0.571289097476778
"Alloprevotella",2513.95027996408,1.11200025681055,0.467177336497368,2.38025300017271,0.0173007551823913,0.39215045080087
"RUG11857",1618.03260190537,0.53726307451429,0.289300159084004,1.85711295913351,0.0632950848671726,0.590029005609439
"UBA6398",342.728068687152,0.0113862840884251,0.316939159931308,0.035925772286684,0.971341545815502,0.991627631154911
"UBA1189",404.726756469644,0.152218350339785,0.316844663202484,0.480419486322569,0.630929141003363,0.991627631154911
"Sodaliphilus",178525.061978347,-1.25746237180849,0.423767837441146,-2.96733791644377,0.00300390616016049,0.239089281841834
"RUG14106",566.061789962889,-0.434207522259445,0.319169119864211,-1.36043086638261,0.173693616352784,0.984231014666599
"CAG-485",217.288271539824,0.0153824691394859,0.216089826525582,0.0711855314376162,0.943250096442542,0.991627631154911
"RF16",228735.616725342,-0.0561515980573529,0.513981670870814,-0.109248249966225,0.913005591361922,0.991627631154911
"RUG163",7872.30040036029,2.51457363082917,0.726992820502645,3.45886996392975,NA,NA
"UBA1181",1476.23495427732,0.233709982826469,0.191483581658556,1.22052230693705,0.222266938562631,0.984234290871907
"MGYG000291027",462.046148251303,0.165753231930507,0.224656655024456,0.737806907667451,0.460631795076036,0.991627631154911
"UBA1723",286.954251426065,0.103044153646128,0.227673830029109,0.452595511890641,0.650840031153938,0.991627631154911
