	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
NS001_MG	-0.10586980470283484	0.007479794148898055	-0.1049091545845327	0.041072561860566036	0.07884034398628532	-0.0842776318570156	0.17153135667157599	0.08824365104456222	0.07126863653302497	0.024460195234782482	0.01080768699406317	0.031045172168466507	-0.06042891234245811	0.032710611674161956	-0.035157799277737656	0.00013646047814128511	-0.07845938792074693	0.1937567551615226	-0.026008999825827314	-0.018170436891403612	0.0459015150576815	-0.07074281584533174	-0.07573470103291842	-0.0057670061651402755	0.03607905344768254	-0.010794896894235169	0.007782918480751152	-0.011057614708625412	-0.019773536982838763	-0.0
PR26NR067MG	-0.20514882774558182	0.4629030784566756	-0.019228818776550496	-0.17658666862919725	-0.09704810252571207	0.0747452758779588	-0.07257368083455934	0.00684353807584384	-0.024618994369909806	-0.14035961929429863	0.0194938915484204	-0.00514597316128537	0.009361081781502552	-0.017206092630902888	0.01993135744137835	0.04282843343996984	0.008102957877453684	0.062267605666560345	-0.01071811551486471	0.035421990058066614	-0.024379623796526008	-0.03666314984736831	-0.04416440944972912	0.05536136821200103	-0.017862839332664002	0.053305938923032155	0.003950288780681949	0.07238828503539517	0.02564765977831268	-0.0
PR26NR063MG	-0.04329361384065549	-0.2162711276361007	-0.22606867878289838	0.002694985709109723	-0.23483717298852658	0.05229249512714438	-0.07150309926007663	0.03896581949339231	-0.004263914018753685	0.121459510248817	0.02828919062345186	0.02011721469147488	0.016793569573363414	0.02789860579198272	0.0720924534249524	0.04712980549990493	0.020679005612435852	0.006049117610361409	-0.030043253304819658	-0.019215617994768723	-0.007072109160531098	0.027189235331191785	-0.052936329413268104	0.007974169781552652	0.03666125690156564	0.062237543907875816	0.006535400414227846	-0.06515112599860264	0.05223133304937245	-0.0
PR26NR042MG	-0.1094146955787033	-0.13334609986735982	-0.01624105154478996	0.09645020584079671	0.07043223211761691	-0.020911787461361433	0.11139479331185617	-0.11775047971175778	-0.0835215913620315	0.10191918722634809	0.11887612291657862	-0.11136570825802601	0.04055846169856073	0.018600144552369056	0.04545209730961926	0.10038211053882211	0.06234082315758929	0.0028090852577902733	0.015285677023389	0.11558018220986258	-0.05448310424128788	-0.018004297796519422	-0.03810575518998992	-0.05224151575435127	-0.013460371707214175	0.01176162606384505	-0.04138268006260414	0.03560664789403514	-0.020595824563426478	-0.0
NS002_MG	-0.20860779916443978	-0.10383436333465268	0.08336047970168392	0.0441212514005641	0.17283603447288146	0.08993060361706731	-0.03250563807690367	-0.09773857647511337	-0.1378282529716673	-0.10023601123001699	0.023067765484379596	0.17405992934313708	-0.10680787895208634	0.05749067260205695	-0.035070617798875096	0.03370744903850757	0.047959023537201016	-0.01651381041567322	0.07139854350974648	0.04494873900162627	0.043831215193998734	0.017038648577771036	-0.018376973463965315	0.01231543454811209	0.05473908603316833	-0.011784772413058043	0.023754773157833923	-0.02666542372872006	0.024498540714658644	-0.0
PR26NR026MG	-0.09597516266520269	-0.12158192364730833	-0.17857126967293943	0.06531773745855991	-0.10571771902838865	-0.09142898543623766	-0.012302026713815042	-0.00904444498658491	-0.0632277191814525	0.019279829917564655	-0.01644106588985968	0.10973884618388487	-0.11668845285288497	-0.002909271310411248	-0.02302724329542388	-0.08765623775388252	0.07076434991923324	-0.000335417240646952	0.017347575475402947	-0.04367519281718278	-0.12108389737499935	-0.06228996885363345	0.05849590842037841	-0.0030956056718095524	-0.044630044897667996	0.02941234707283747	0.03361481457825489	0.024495145339279944	-0.036664866174594135	-0.0
NS003_MG	-0.2011795129414063	0.010494985661560343	0.10606549770449004	0.046291639416489845	0.15622760912394607	0.003403776447370018	-0.02032757336787048	0.05248088122413144	-0.10520746967809738	0.07432559734380859	-0.00300853578492176	0.06686144100531048	0.05975099133087937	0.03484289397810597	0.0052388686096388444	-0.04240213848607864	-0.06820364248497898	0.07229313009700263	-0.12446401326110743	-0.02205372019864681	-0.02035965278237131	0.12361747497539315	0.07514921055806692	-0.0034287012715269165	-0.02269268162128158	0.04590427771081097	-0.025217238022804272	0.021722737497077083	0.008483951934348904	-0.0
NS004_MG	-0.1551266145728269	-0.19706175862834682	0.05779543250261971	-0.024110551837420006	0.11950532825510823	0.17122216734806184	0.013954721843519355	0.0709797095268317	-0.023533539912043395	0.020104760416074063	-0.04088154934300696	-0.11373031300864747	0.004870021951552503	-0.04091793331785006	0.0953458810813421	0.024021272330483335	-0.09721862286939338	0.019878811730895236	0.10916731976140816	-0.06512990208891295	-0.09461160618490307	-0.04334346732833743	0.046150599364479954	0.056303661115481254	0.015879455882259284	-0.03344171045803612	0.011980513960819969	-0.004942513282302104	0.014768049344891095	-0.0
PR26NR007MG	-0.049634655876406024	-0.11709234207574533	0.21442476966819096	0.04965289034143923	-0.22338369619615123	0.009283772468616934	0.12165560417314368	-0.29792465960901593	-0.041686551398858226	-0.060806086037446395	-0.048224957434074796	-0.0809589314429673	0.02399100149381533	-0.004090682123387201	-0.0068710307953828735	-0.05620872180383267	-0.03028096406325766	0.05615447745478307	-0.03157818916878679	-0.05645122846956146	0.0354154931209456	0.0038718541080082582	0.01007145845532349	0.009419574689853744	-0.006530451642513929	-0.002726045490155938	0.026241766837022062	-0.00877930134462473	0.0064857240676581525	-0.0
NS005_MG	-0.05367574323254512	-0.24710221647176173	-0.2544569604109136	-0.053891538101542354	-0.049948264266111285	0.22872906362101808	-0.06394183685811557	-0.009728254563860656	0.041116238708940926	-0.07265944885506599	-0.047438509407460236	0.0069246559640939705	-0.0017065882680677383	0.07365484972661805	0.05314683864965161	-0.03179805202791387	0.0005091757206361881	-0.021086197419577235	-0.0801002134021381	0.006324502814243926	0.047005223878505184	0.024948600067687253	-0.010938895233505979	-0.024704870350148244	0.0020268764041355696	-0.07869415254559202	-0.026005706315528777	0.04627855909038513	-0.03972504582957945	-0.0
